愛育,あいいく,aiiku
甘酒,あまざけ,amazake
雨晒し,あまざらし,amazarashi
あまた,あまた,amata
雨垂れ,あまだれ,amadare
尼寺,あまでら,amadera
雨戸,あまど,amado
天の川,あまのがわ,amanogawa
雨漏り,あまもり,amamori
雨宿り,あまやどり,amayadori
余り,あまり,amari
網,あみ,ami
阿弥陀,あみだ,amida
網棚,あみだな,amidana
網戸,あみど,amido
網の目,あみのめ,aminome
網目,あみめ,amime
網元,あみもと,amimoto
編み物,あみもの,amimono
雨,あめ,ame
飴色,あめいろ,ameiro
雨降,あめふらし,amefurashi
菖蒲,あやめ,ayame
鮎,あゆ,ayu
粗,あら,ara
洗い場,あらいば,araiba
荒海,あらうみ,araumi
荒稼ぎ,あらかせぎ,arakasegi
粗探し,あらさがし,arasagashi
嵐,あらし,arashi
新手,あらて,arate
荒波,あらなみ,aranami
荒巻き,あらまき,aramaki
あらまし,あらまし,aramashi
荒物,あらもの,aramono
霰,あられ,arare
蟻,あり,ari
有り明け,ありあけ,ariake
在りか,ありか,arika
有り金,ありがね,arigane
有り様,ありさま,arisama
在りし日,ありしひ,arishihi
荒れ地,あれち,arechi
荒れ野,あれの,areno
泡,あわ,awa
あわび,あわび,awabi
泡盛,あわもり,awamori
暗,あん,an
暗雲,あんうん,anun
暗記,あんき,anki
案件,あんけん,anken
餡子,あんこ,anko
あんさん,あんさん,ansan
安産,あんざん,anzan
暗室,あんしつ,anshitsu
安心,あんしん,anshin
安息,あんそく,ansoku
安息日,あんそくび,ansokubi
安打,あんだ,anda
安置,あんち,anchi
安定,あんてい,antei
暗転,あんてん,anten
安堵,あんど,ando
行灯,あんどん,andon
案内,あんない,annai
安寧,あんねい,annei
暗躍,あんやく,anyaku
威圧,いあつ,iatsu
慰安,いあん,ian
言い種,いいぐさ,iigusa
言い過ぎ,いいすぎ,iisugi
言い成り,いいなり,iinari
言い値,いいね,iine
言い分,いいぶん,iibun
言い訳,いいわけ,iiwake
医院,いいん,iin
家柄,いえがら,iegara
胃液,いえき,ieki
家出,いえで,iede
家並み,いえなみ,ienami
家元,いえもと,iemoto
以遠,いえん,ien
庵,いおり,iori
医科,いか,ika
威嚇,いかく,ikaku
いかさま,いかさま,ikasama
筏,いかだ,ikada
錨,いかり,ikari
移管,いかん,ikan
毬,いが,iga
遺骸,いがい,igai
医学,いがく,igaku
医学部,いがくぶ,igakubu
鋳型,いがた,igata
依願,いがん,igan
遺棄,いき,iki
生き埋め,いきうめ,ikiume
生き餌,いきえ,ikie
生きがい,いきがい,ikigai
行き掛け,いきがけ,ikigake
息切れ,いきぎれ,ikigire
行き先,いきさき,ikisaki
いきさつ,いきさつ,ikisatsu
生き様,いきざま,ikizama
息継ぎ,いきつぎ,ikitsugi
息抜き,いきぬき,ikinuki
息の根,いきのね,ikinone
生き仏,いきぼとけ,ikibotoke
生き物,いきもの,ikimono
いきれ,いきれ,ikire
威儀,いぎ,igi
幾,いく,iku
育英,いくえい,ikuei
戦,いくさ,ikusa
行く先,いくさき,ikusaki
育成,いくせい,ikusei
遺訓,いくん,ikun
藺草,いぐさ,igusa
池,いけ,ike
畏敬,いけい,ikei
生け垣,いけがき,ikegaki
生け簀,いけす,ikesu
生け贄,いけにえ,ikenie
生け花,いけばな,ikebana
意見,いけん,iken
威厳,いげん,igen
異国,いこく,ikoku
遺骨,いこつ,ikotsu
遺恨,いこん,ikon
以後,いご,igo
居心地,いごこち,igokochi
委細,いさい,isai
諍い,いさかい,isakai
遺作,いさく,isaku
勇み足,いさみあし,isamiashi
漁り火,いさりび,isaribi
胃酸,いさん,isan
居酒屋,いざかや,izakaya
いざこざ,いざこざ,izakoza
十六夜,いざよい,izayoi
医師,いし,ishi
石臼,いしうす,ishiusu
石おの,いしおの,ishiono
石垣,いしがき,ishigaki
意識,いしき,ishiki
石ころ,いしころ,ishikoro
石畳,いしだたみ,ishidatami
石段,いしだん,ishidan
石橋,いしばし,ishibashi
石綿,いしわた,ishiwata
威信,いしん,ishin
椅子,いす,isu
以西,いせい,isei
移籍,いせき,iseki
移設,いせつ,isetsu
緯線,いせん,isen
以前,いぜん,izen
磯,いそ,iso
急ぎ足,いそぎあし,isogiashi
磯松,いそまつ,isomatsu
遺族,いぞく,izoku
依存,いぞん,izon
板,いた,ita
遺体,いたい,itai
板壁,いたかべ,itakabe
委託,いたく,itaku
致し方,いたしかた,itashikata
いたち,いたち,itachi
痛手,いたで,itade
板の間,いたのま,itanoma
板挟み,いたばさみ,itabasami
板張り,いたばり,itabari
板前,いたまえ,itamae
異端,いたん,itan
医大,いだい,idai
韋駄天,いだてん,idaten
位置,いち,ichi
一案,いちあん,ichian
一意,いちい,ichii
一員,いちいん,ichiin
一丸,いちがん,ichigan
移築,いちく,ichiku
一群,いちぐん,ichigun
一撃,いちげき,ichigeki
一言,いちげん,ichigen
一期,いちご,ichigo
一座,いちざ,ichiza
一族,いちぞく,ichizoku
一存,いちぞん,ichizon
一団,いちだん,ichidan
一読,いちどく,ichidoku
一男,いちなん,ichinan
一任,いちにん,ichinin
一念,いちねん,ichinen
市場,いちば,ichiba
一部,いちぶ,ichibu
一部分,いちぶぶん,ichibubun
一抹,いちまつ,ichimatsu
一味,いちみ,ichimi
一命,いちめい,ichimei
一目,いちもく,ichimoku
一門,いちもん,ichimon
一夜,いちや,ichiya
一翼,いちよく,ichiyoku
一覧,いちらん,ichiran
一理,いちり,ichiri
一礼,いちれい,ichirei
いつ,いつ,itsu
何時頃,いつごろ,itsugoro
逸材,いつざい,itsuzai
逸脱,いつだつ,itsudatsu
逸話,いつわ,itsuwa
移転,いてん,iten
出で立ち,いでたち,idetachi
遺伝,いでん,iden
遺伝子,いでんし,idenshi
意図,いと,ito
威徳,いとく,itoku
糸口,いとぐち,itoguchi
従兄弟,いとこ,itoko
糸偏,いとへん,itohen
いとま,いとま,itoma
暇乞い,いとまごい,itomagoi
糸目,いとめ,itome
井戸,いど,ido
居所,いどころ,idokoro
井戸端,いどばた,idobata
否,いな,ina
以内,いない,inai
田舎,いなか,inaka
稲子,いなご,inago
稲作,いなさく,inasaku
稲束,いなたば,inataba
稲田,いなだ,inada
稲光,いなびかり,inabikari
稲穂,いなほ,inaho
稲叢,いなむら,inamura
稲荷,いなり,inari
以南,いなん,inan
古,いにしえ,inishie
委任,いにん,inin
戌,いぬ,inu
犬橇,いぬぞり,inuzori
稲,いね,ine
稲刈り,いねかり,inekari
稲扱き,いねこき,inekoki
猪,いのしし,inoshishi
命,いのち,inochi
命掛け,いのちがけ,inochigake
命乞い,いのちごい,inochigoi
命取り,いのちとり,inochitori
違背,いはい,ihai
違反,いはん,ihan
茨,いばら,ibara
遺品,いひん,ihin
いびき,いびき,ibiki
畏怖,いふ,ifu
衣服,いふく,ifuku
息吹,いぶき,ibuki
胃袋,いぶくろ,ibukuro
燻し銀,いぶしぎん,ibushigin
異物,いぶつ,ibutsu
異変,いへん,ihen
以北,いほく,ihoku
異母,いぼ,ibo
今,いま,ima
今頃,いまごろ,imagoro
今時,いまどき,imadoki
意味,いみ,imi
意味合い,いみあい,imiai
移民,いみん,imin
医務,いむ,imu
芋,いも,imo
鋳物,いもの,imono
芋虫,いもむし,imomushi
井守,いもり,imori
慰問,いもん,imon
嫌気,いやき,iyaki
意訳,いやく,iyaku
意欲,いよく,iyoku
依頼,いらい,irai
甍,いらか,iraka
入り海,いりうみ,iriumi
入り江,いりえ,irie
入り口,いりぐち,iriguchi
入り日,いりひ,irihi
衣類,いるい,irui
海豚,いるか,iruka
居留守,いるす,irusu
慰霊,いれい,irei
入れ歯,いれば,ireba
入れ物,いれもの,iremono
色,いろ,iro
色合い,いろあい,iroai
色気,いろけ,iroke
色艶,いろつや,irotsuya
いろは,いろは,iroha
色町,いろまち,iromachi
いろり,いろり,irori
色分け,いろわけ,irowake
異論,いろん,iron
岩,いわ,iwa
祝,いわい,iwai
違和感,いわかん,iwakan
曰く,いわく,iwaku
鰯,いわし,iwashi
岩魚,いわな,iwana
岩肌,いわはだ,iwahada
岩場,いわば,iwaba
岩屋,いわや,iwaya
岩山,いわやま,iwayama
謂われ,いわれ,iware
印,いん,in
陰影,いんえい,inei
引火,いんか,inka
印鑑,いんかん,inkan
因果,いんが,inga
印画紙,いんがし,ingashi
陰茎,いんけい,inkei
隠元,いんげん,ingen
鸚哥,いんこ,inko
隠語,いんご,ingo
印刷,いんさつ,insatsu
印紙,いんし,inshi
院政,いんせい,insei
引責,いんせき,inseki
印税,いんぜい,inzei
引率,いんそつ,insotsu
引退,いんたい,intai
隠匿,いんとく,intoku
隠遁,いんとん,inton
因縁,いんねん,innen
韻律,いんりつ,inritsu
陰暦,いんれき,inreki
植木,うえき,ueki
植木鉢,うえきばち,uekibachi
植え込み,うえこみ,uekomi
魚市場,うおいちば,uoichiba
魚河岸,うおがし,uogashi
羽化,うか,uka
迂回,うかい,ukai
含嗽,うがい,ugai
右岸,うがん,ugan
雨季,うき,uki
浮き草,うきくさ,ukikusa
浮き雲,うきぐも,ukigumo
浮き袋,うきぶくろ,ukibukuro
浮き彫り,うきぼり,ukibori
憂き身,うきみ,ukimi
憂き目,うきめ,ukime
浮き世,うきよ,ukiyo
鶯,うぐいす,uguisu
受け売り,うけうり,ukeuri
請負,うけおい,ukeoi
受け皿,うけざら,ukezara
受付,うけつけ,uketsuke
受取,うけとり,uketori
右舷,うげん,ugen
兎,うさぎ,usagi
丑,うし,ushi
牛飼い,うしかい,ushikai
牛蛙,うしがえる,ushigaeru
牛偏,うしへん,ushihen
後ろ,うしろ,ushiro
後ろ足,うしろあし,ushiroashi
後ろ髪,うしろがみ,ushirogami
後ろ盾,うしろだて,ushirodate
後ろ手,うしろで,ushirode
臼,うす,usu
雨水,うすい,usui
薄紙,うすがみ,usugami
薄着,うすぎ,usugi
薄切り,うすぎり,usugiri
薄曇り,うすぐもり,usugumori
薄日,うすび,usubi
薄緑,うすみどり,usumidori
羅,うすもの,usumono
右折,うせつ,usetsu
嘘,うそ,uso
嘘吐き,うそつき,usotsuki
歌,うた,uta
歌合,うたあわせ,utaawase
謡,うたい,utai
歌い手,うたいて,utaite
泡沫,うたかた,utakata
歌声,うたごえ,utagoe
転寝,うたたね,utatane
歌姫,うたひめ,utahime
内,うち,uchi
討ち入り,うちいり,uchiiri
内祝い,うちいわい,uchiiwai
内々,うちうち,uchiuchi
内海,うちうみ,uchiumi
打ち掛け,うちかけ,uchikake
内掛け,うちがけ,uchigake
内側,うちがわ,uchigawa
内高,うちだか,uchidaka
打ち止め,うちどめ,uchidome
内法,うちのり,uchinori
内幕,うちまく,uchimaku
内股,うちまた,uchimata
打ち身,うちみ,uchimi
内輪,うちわ,uchiwa
内訳,うちわけ,uchiwake
鬱,うつ,utsu
現,うつつ,utsutsu
打つ手,うつて,utsute
うつ伏せ,うつぶせ,utsubuse
器,うつわ,utsuwa
雨天,うてん,uten
腕,うで,ude
腕利き,うできき,udekiki
腕比べ,うでくらべ,udekurabe
腕組み,うでぐみ,udegumi
腕試し,うでだめし,udedameshi
腕前,うでまえ,udemae
うど,うど,udo
うどん,うどん,udon
鰻,うなぎ,unagi
海原,うなばら,unabara
雲丹,うに,uni
畝,うね,une
鵜呑み,うのみ,unomi
右派,うは,uha
乳母,うば,uba
産着,うぶぎ,ubugi
産毛,うぶげ,ubuge
産声,うぶごえ,ubugoe
産湯,うぶゆ,ubuyu
右辺,うへん,uhen
午,うま,uma
馬乗り,うまのり,umanori
海,うみ,umi
海亀,うみがめ,umigame
海鳥,うみどり,umidori
海鳴り,うみなり,uminari
海猫,うみねこ,umineko
海開き,うみびらき,umibiraki
海蛇,うみへび,umihebi
海辺,うみべ,umibe
有無,うむ,umu
梅,うめ,ume
呻き声,うめきごえ,umekigoe
埋め草,うめくさ,umekusa
梅干し,うめぼし,umeboshi
埋もれ木,うもれぎ,umoregi
紆余,うよ,uyo
右翼,うよく,uyoku
浦,うら,ura
裏打ち,うらうち,urauchi
裏表,うらおもて,uraomote
裏方,うらかた,urakata
裏書き,うらがき,uragaki
裏金,うらがね,uragane
裏口,うらぐち,uraguchi
裏作,うらさく,urasaku
裏手,うらて,urate
占師,うらないし,uranaishi
裏庭,うらにわ,uraniwa
裏話,うらばなし,urabanashi
裏盆,うらぼん,urabon
裏町,うらまち,uramachi
怨み,うらみ,urami
裏道,うらみち,uramichi
裏目,うらめ,urame
裏門,うらもん,uramon
裏山,うらやま,urayama
瓜,うり,uri
売上,うりあげ,uriage
売り買い,うりかい,urikai
売り子,うりこ,uriko
売出,うりだし,uridashi
売り手,うりて,urite
売り値,うりね,urine
売り場,うりば,uriba
売り物,うりもの,urimono
煩型,うるさがた,urusagata
漆,うるし,urushi
粳,うるち,uruchi
売れ行き,うれゆき,ureyuki
鱗,うろこ,uroko
鱗雲,うろこぐも,urokogumo
上顎,うわあご,uwaago
上書き,うわがき,uwagaki
上着,うわぎ,uwagi
上薬,うわぐすり,uwagusuri
囈言,うわごと,uwagoto
噂,うわさ,uwasa
上滑り,うわすべり,uwasuberi
上塗り,うわぬり,uwanuri
上値,うわね,uwane
上乗せ,うわのせ,uwanose
上の空,うわのそら,uwanosora
上履き,うわばき,uwabaki
うわべ,うわべ,uwabe
上役,うわやく,uwayaku
運,うん,un
運営,うんえい,unei
雲海,うんかい,unkai
運河,うんが,unga
うんこ,うんこ,unko
運針,うんしん,unshin
雲水,うんすい,unsui
運勢,うんせい,unsei
うんち,うんち,unchi
運賃,うんちん,unchin
運転,うんてん,unten
雲泥,うんでい,undei
云々,うんぬん,unnun
運輸,うんゆ,unyu
英会話,えいかいわ,eikaiwa
鋭角,えいかく,eikaku
栄冠,えいかん,eikan
映画,えいが,eiga
英気,えいき,eiki
英語,えいご,eigo
英才,えいさい,eisai
栄進,えいしん,eishin
永世,えいせい,eisei
営繕,えいぜん,eizen
永続,えいぞく,eizoku
栄達,えいたつ,eitatsu
詠嘆,えいたん,eitan
英断,えいだん,eidan
英知,えいち,eichi
栄転,えいてん,eiten
英文,えいぶん,eibun
衛兵,えいへい,eihei
永眠,えいみん,eimin
英名,えいめい,eimei
英訳,えいやく,eiyaku
栄誉,えいよ,eiyo
営利,えいり,eiri
営林,えいりん,eirin
英霊,えいれい,eirei
英和,えいわ,eiwa
絵描き,えかき,ekaki
笑顔,えがお,egao
絵柄,えがら,egara
液,えき,eki
駅員,えきいん,ekiin
液化,えきか,ekika
疫学,えきがく,ekigaku
液体,えきたい,ekitai
駅伝,えきでん,ekiden
駅弁,えきべん,ekiben
駅前,えきまえ,ekimae
役務,えきむ,ekimu
駅名,えきめい,ekimei
疫痢,えきり,ekiri
靨,えくぼ,ekubo
餌,えさ,esa
絵師,えし,eshi
絵空事,えそらごと,esoragoto
枝,えだ,eda
枝打ち,えだうち,edauchi
枝葉,えだは,edaha
枝豆,えだまめ,edamame
悦,えつ,etsu
越年,えつねん,etsunen
閲覧,えつらん,etsuran
干支,えと,eto
会得,えとく,etoku
江戸前,えどまえ,edomae
絵の具,えのぐ,enogu
海老,えび,ebi
えびせん,えびせん,ebisen
絵筆,えふで,efude
絵本,えほん,ehon
烏帽子,えぼし,eboshi
絵馬,えま,ema
絵巻,えまき,emaki
絵巻物,えまきもの,emakimono
笑み,えみ,emi
獲物,えもの,emono
衣紋掛,えもんかけ,emonkake
えら,えら,era
襟,えり,eri
襟首,えりくび,erikubi
襟ぐり,えりぐり,eriguri
選り取り,えりどり,eridori
襟巻き,えりまき,erimaki
円,えん,en
遠因,えんいん,enin
円売り,えんうり,enuri
遠泳,えんえい,enei
演繹,えんえき,eneki
塩化,えんか,enka
宴会,えんかい,enkai
沿革,えんかく,enkaku
塩害,えんがい,engai
縁側,えんがわ,engawa
沿岸,えんがん,engan
延期,えんき,enki
遠近,えんきん,enkin
演技,えんぎ,engi
縁起物,えんぎもの,engimono
縁組み,えんぐみ,engumi
援軍,えんぐん,engun
円形,えんけい,enkei
園芸,えんげい,engei
演劇,えんげき,engeki
縁故,えんこ,enko
援護,えんご,engo
縁先,えんさき,ensaki
塩酸,えんさん,ensan
冤罪,えんざい,enzai
演算,えんざん,enzan
遠視,えんし,enshi
延伸,えんしん,enshin
円錐,えんすい,ensui
遠征,えんせい,ensei
宴席,えんせき,enseki
沿線,えんせん,ensen
演説,えんぜつ,enzetsu
塩素,えんそ,enso
遠足,えんそく,ensoku
延滞,えんたい,entai
円卓,えんたく,entaku
演題,えんだい,endai
円高,えんだか,endaka
円建て,えんだて,endate
演壇,えんだん,endan
炎天,えんてん,enten
塩田,えんでん,enden
煙突,えんとつ,entotsu
縁日,えんにち,ennichi
炎熱,えんねつ,ennetsu
縁の下,えんのした,ennoshita
円安,えんやす,enyasu
遠路,えんろ,enro
追い打ち,おいうち,oiuchi
御家芸,おいえげい,oiegei
追い風,おいかぜ,oikaze
老頭,おいがしら,oigashira
追い肥,おいごえ,oigoe
老い先,おいさき,oisaki
生い立ち,おいたち,oitachi
御暇,おいとま,oitoma
追い剥ぎ,おいはぎ,oihagi
負い目,おいめ,oime
花魁,おいらん,oiran
丘,おか,oka
御返し,おかえし,okaeshi
お陰,おかげ,okage
御方,おかた,okata
御構い,おかまい,okamai
女将,おかみ,okami
阿亀,おかめ,okame
陸湯,おかゆ,okayu
おから,おから,okara
御代わり,おかわり,okawari
悪寒,おかん,okan
小川,おがわ,ogawa
沖,おき,oki
沖合,おきあい,okiai
置き去り,おきざり,okizari
掟,おきて,okite
翁,おきな,okina
置き場,おきば,okiba
御決まり,おきまり,okimari
置物,おきもの,okimono
奥,おく,oku
屋外,おくがい,okugai
奥様,おくさま,okusama
奥さん,おくさん,okusan
憶測,おくそく,okusoku
奥底,おくそこ,okusoko
奥地,おくち,okuchi
おくて,おくて,okute
屋内,おくない,okunai
御国,おくに,okuni
奥の手,おくのて,okunote
奥歯,おくば,okuba
おくび,おくび,okubi
御悔やみ,おくやみ,okuyami
奥行き,おくゆき,okuyuki
送り先,おくりさき,okurisaki
送り手,おくりて,okurite
送り火,おくりび,okuribi
贈り物,おくりもの,okurimono
小倉,おぐら,ogura
桶,おけ,oke
御腰,おこし,okoshi
御好み,おこのみ,okonomi
おこわ,おこわ,okowa
御下がり,おさがり,osagari
御下げ,おさげ,osage
幼子,おさなご,osanago
おさらい,おさらい,osarai
御産,おさん,osan
押し入れ,おしいれ,oshiire
押し売り,おしうり,oshiuri
教え子,おしえご,oshiego
御七夜,おしちや,oshichiya
鴛鴦,おしどり,oshidori
御忍び,おしのび,oshinobi
押し葉,おしば,oshiba
押し花,おしばな,oshibana
雄蘂,おしべ,oshibe
おしまい,おしまい,oshimai
雄,おす,osu
汚水,おすい,osui
御節,おせち,osechi
汚染,おせん,osen
遅咲き,おそざき,osozaki
御供え,おそなえ,osonae
遅蒔き,おそまき,osomaki
御互い,おたがい,otagai
御宅,おたく,otaku
御立ち,おたち,otachi
おたふく,おたふく,otafuku
汚濁,おだく,odaku
落ち度,おちど,ochido
落ち葉,おちば,ochiba
落ち穂,おちぼ,ochibo
落ち目,おちめ,ochime
御告げ,おつげ,otsuge
御釣り,おつり,otsuri
御手,おて,ote
御手上げ,おてあげ,oteage
御手玉,おてだま,otedama
御点前,おてまえ,otemae
御手盛り,おてもり,otemori
汚点,おてん,oten
汚泥,おでい,odei
お出かけ,おでかけ,odekake
おでき,おでき,odeki
おでこ,おでこ,odeko
お出まし,おでまし,odemashi
おでん,おでん,oden
音,おと,oto
御伽,おとぎ,otogi
男,おとこ,otoko
男君,おとこぎみ,otokogimi
男伊達,おとこだて,otokodate
男手,おとこで,otokode
男泣き,おとこなき,otokonaki
男の子,おとこのこ,otokonoko
男湯,おとこゆ,otokoyu
音沙汰,おとさた,otosata
御年玉,おとしだま,otoshidama
おととい,おととい,ototoi
おととし,おととし,ototoshi
大人,おとな,otona
乙女,おとめ,otome
御供,おとも,otomo
囮,おとり,otori
戯け者,おどけもの,odokemono
踊,おどり,odori
踊り子,おどりこ,odoriko
踊り場,おどりば,odoriba
同い年,おないどし,onaidoshi
お腹,おなか,onaka
尾長鳥,おながどり,onagadori
おなら,おなら,onara
鬼,おに,oni
鬼瓦,おにがわら,onigawara
御握り,おにぎり,onigiri
尾根,おね,one
斧,おの,ono
己,おのれ,onore
御萩,おはぎ,ohagi
おはこ,おはこ,ohako
御初,おはつ,ohatsu
御囃子,おはやし,ohayashi
御祓い,おはらい,oharai
伯母,おば,oba
御祖母,おばあ,obaa
御化け,おばけ,obake
伯母さん,おばさん,obasan
尾花,おばな,obana
御膝元,おひざもと,ohizamoto
おひたし,おひたし,ohitashi
御姫様,おひめさま,ohimesama
御開き,おひらき,ohiraki
尾鰭,おひれ,ohire
御披露目,おひろめ,ohirome
帯,おび,obi
尾鰭,おびれ,obire
御袋,おふくろ,ofukuro
御布施,おふせ,ofuse
御触れ,おふれ,ofure
汚物,おぶつ,obutsu
おべべ,おべべ,obebe
朧雲,おぼろぐも,oborogumo
御盆,おぼん,obon
御参り,おまいり,omairi
御前,おまえ,omae
おまけ,おまけ,omake
御祭り,おまつり,omatsuri
御守り,おまもり,omamori
御神酒,おみき,omiki
御輿,おみこし,omikoshi
女郎花,おみなえし,ominaeshi
御迎え,おむかえ,omukae
おむすび,おむすび,omusubi
おむつ,おむつ,omutsu
汚名,おめい,omei
おめかし,おめかし,omekashi
御召し,おめし,omeshi
御目玉,おめだま,omedama
おめでた,おめでた,omedeta
御目見得,おめみえ,omemie
思い出,おもいで,omoide
面影,おもかげ,omokage
重き,おもき,omoki
面差し,おもざし,omozashi
重し,おもし,omoshi
表,おもて,omote
表書き,おもてがき,omotegaki
表沙汰,おもてざた,omotezata
表向き,おもてむき,omotemuki
表門,おもてもん,omotemon
面長,おもなが,omonaga
重荷,おもに,omoni
趣,おもむき,omomuki
面持ち,おももち,omomochi
母屋,おもや,omoya
御守り,おもり,omori
